x y val
28 153 1
28 153 1
47 39 1
19 91 1
67 107 1
21 131 1
19 211 1
20 59 1
19 209 1
50 69 1
11 79 1
55 171 1
16 151 1
58 125 1
16 207 1
58 3 1
45 209 1
43 17 1
52 43 1
47 15 1
2 161 1
19 163 1
37 161 1
45 53 1
53 43 1
41 41 1
37 205 1
62 45 1
20 183 1
56 79 1
67 109 1
42 123 1
60 135 1
13 197 1
61 83 1
47 173 1
63 127 1
15 117 1
36 71 1
32 27 1
51 167 1
58 181 1
43 49 1
29 71 1
23 185 1
24 19 1
3 115 1
57 11 1
22 167 1
59 207 1
34 211 1
41 15 1
66 41 1
26 123 1
17 147 1
43 61 1
8 91 1
32 133 1
7 161 1
29 97 1
24 53 1
49 209 1
17 9 1
30 129 1
24 185 1
45 151 1
19 131 1
44 23 1
47 153 1
42 71 1
34 131 1
14 167 1
40 89 1
50 147 1
53 9 1
54 197 1
52 19 1
38 203 1
8 135 1
43 143 1
40 31 1
33 37 1
4 101 1
58 39 1
51 81 1
21 183 1
36 139 1
62 45 1
20 87 1
28 141 1
11 91 1
47 145 1
11 63 1
2 99 1
10 135 1
1 65 1
46 135 1
16 135 1
67 153 1
10 67 1
27 23 1
25 59 1
21 69 1
32 143 1
63 175 1
35 135 1
5 107 1
58 159 1
61 87 1
21 57 1
58 31 1
23 137 1
21 51 1
9 69 1
14 149 1
50 35 1
32 45 1
50 61 1
56 207 1
25 149 1
6 145 1
1 179 1
51 137 1
14 71 1
28 45 1
8 21 1
55 197 1
25 81 1
50 25 1
55 1 1
57 193 1
46 141 1
16 61 1
19 43 1
4 197 1
35 67 1
58 201 1
20 21 1
30 163 1
41 69 1
7 107 1
47 175 1
20 99 1
35 161 1
46 193 1
64 13 1
65 137 1
16 77 1
16 137 1
14 95 1
57 47 1
12 3 1
57 159 1
55 125 1
51 151 1
23 25 1
15 103 1
25 31 1
19 153 1
66 23 1
58 139 1
42 5 1
60 21 1
15 187 1
14 185 1
1 135 1
68 65 1
68 51 1
3 29 1
54 53 1
54 177 1
14 59 1
63 115 1
4 137 1
43 153 1
17 213 1
51 25 1
24 5 1
50 5 1
55 133 1
28 137 1
10 5 1
28 123 1
17 17 1
3 55 1
11 209 1
25 191 1
3 141 1
10 65 1
20 105 1
20 79 1
5 155 1
68 219 1
42 1 1
23 127 1
61 113 1
53 215 1
68 191 1
61 121 1
31 217 1
52 21 1
35 127 1
61 95 1
41 207 1
54 13 1
5 39 1
66 119 1
68 177 1
35 203 1
11 49 1
15 205 1
62 57 1
7 203 1
15 219 1
51 13 1
25 161 1
22 187 1
14 71 1
8 119 1
11 107 1
45 17 1
51 77 1
41 105 1
10 49 1
27 49 1
20 211 1
47 91 1
52 161 1
31 87 1
23 147 1
42 133 1
11 115 1
57 219 1
55 131 1
58 193 1
30 213 1
23 37 1
48 139 1
31 169 1
25 53 1
62 71 1
65 93 1
28 177 1
8 9 1
42 207 1
50 65 1
33 217 1
15 21 1
29 193 1
38 83 1
18 109 1
24 103 1
42 83 1
33 207 1
22 187 1
3 215 1
12 45 1
25 209 1
23 45 1
66 5 1
30 119 1
14 93 1
50 119 1
16 83 1
42 57 1
67 7 1
40 95 1
63 83 1
56 131 1
37 127 1
37 149 1
11 169 1
11 121 1
39 41 1
17 145 1
41 129 1
53 29 1
60 59 1
62 51 1
30 19 1
63 199 1
35 199 1
62 149 1
22 53 1
66 213 1
6 49 1
21 21 1
49 49 1
51 47 1
39 193 1
12 39 1
41 23 1
41 185 1
25 173 1
19 181 1
12 169 1
51 159 1
65 11 1
8 113 1
10 57 1
60 11 1
40 171 1
33 179 1
20 49 1
32 99 1
3 35 1
20 69 1
6 21 1
41 191 1
40 117 1
49 185 1
15 1 1
11 63 1
58 189 1
57 63 1
47 19 1
52 81 1
66 1 1
11 201 1
41 155 1
19 17 1
37 173 1
65 85 1
38 117 1
18 95 1
2 205 1
36 1 1
67 23 1
32 151 1
7 151 1
21 53 1
49 105 1
3 167 1
8 65 1
13 93 1
15 37 1
21 209 1
17 35 1
20 77 1
29 35 1
34 103 1
2 217 1
31 141 1
68 83 1
52 205 1
33 167 1
10 3 1
1 59 1
42 47 1
15 75 1
50 129 1
23 171 1
57 7 1
67 31 1
48 63 1
37 151 1
65 143 1
20 171 1
36 15 1
4 129 1
68 207 1
45 121 1
32 37 1
6 49 1
63 215 1
7 47 1
35 29 1
58 127 1
54 3 1
22 127 1
6 31 1
19 113 1
47 133 1
19 55 1
1 7 1
57 113 1
29 61 1
53 111 1
42 163 1
40 167 1
8 83 1
50 201 1
3 111 1
8 115 1
56 53 1
19 45 1
35 87 1
33 153 1
54 215 1
59 71 1
39 143 1
1 75 1
26 173 1
61 149 1
15 3 1
50 53 1
5 93 1
10 109 1
65 167 1
31 25 1
60 143 1
1 177 1
58 51 1
35 21 1
58 207 1
42 15 1
60 61 1
60 73 1
28 127 1
4 111 1
29 113 1
41 47 1
10 7 1
10 99 1
61 161 1
20 177 1
50 49 1
24 117 1
11 183 1
44 75 1
27 103 1
34 175 1
29 119 1
50 107 1
64 113 1
52 53 1
46 27 1
24 81 1
14 7 1
41 131 1
39 87 1
1 103 1
53 59 1
30 99 1
2 95 1
33 35 1
53 15 1
47 65 1
17 29 1
15 77 1
19 147 1
43 73 1
57 91 1
2 187 1
36 95 1
16 79 1
63 61 1
31 7 1
36 25 1
64 199 1
38 175 1
50 79 1
24 159 1
53 193 1
42 107 1
51 35 1
64 177 1
52 63 1
39 7 1
66 33 1
17 17 1
19 183 1
26 57 1
62 139 1
55 207 1
37 109 1
51 117 1
55 45 1
20 57 1
22 143 1
60 111 1
21 163 1
45 25 1
10 141 1
56 61 1
49 59 1
20 23 1
1 171 1
41 139 1
50 61 1
27 131 1
13 141 1
35 213 1
62 19 1
4 213 1
57 147 1
23 91 1
50 209 1
38 55 1
7 107 1
33 155 1
24 5 1
22 119 1
20 85 1
11 111 1
5 131 1
65 117 1
38 219 1
26 141 1
24 119 1
65 195 1
27 215 1
61 79 1
4 59 1
25 15 1
46 211 1
19 133 1
3 17 1
15 177 1
45 169 1
38 65 1
26 55 1
46 149 1
61 181 1
55 65 1
50 31 1
48 171 1
46 133 1
23 93 1
8 109 1
8 105 1
47 123 1
13 83 1
56 35 1
62 205 1
40 173 1
60 199 1
62 13 1
14 171 1
29 159 1
29 201 1
64 201 1
68 179 1
67 53 1
51 77 1
14 127 1
63 67 1
6 39 1
60 113 1
2 31 1
14 95 1
36 77 1
57 61 1
13 17 1
17 73 1
49 203 1
29 145 1
46 145 1
25 185 1
8 109 1
28 43 1
31 59 1
7 197 1
41 151 1
21 145 1
15 69 1
52 179 1
11 7 1
22 127 1
32 13 1
14 147 1
9 165 1
33 181 1
9 207 1
61 133 1
14 79 1
44 161 1
1 193 1
63 135 1
57 129 1
60 153 1
59 103 1
20 63 1
7 3 1
10 163 1
2 29 1
10 105 1
26 135 1
61 87 1
25 155 1
2 33 1
59 121 1
36 145 1
65 199 1
6 167 1
24 107 1
34 87 1
32 211 1
65 21 1
65 157 1
68 203 1
54 149 1
57 107 1
4 45 1
12 105 1
54 195 1
30 59 1
65 125 1
33 219 1
49 33 1
63 209 1
45 205 1
41 209 1
64 105 1
65 23 1
30 79 1
47 153 1
64 191 1
67 93 1
43 73 1
28 209 1
67 65 1
34 161 1
5 97 1
36 143 1
33 49 1
36 129 1
67 87 1
14 97 1
44 49 1
4 95 1
66 131 1
34 205 1
38 93 1
5 151 1
35 41 1
34 201 1
30 97 1
13 181 1
54 181 1
61 103 1
3 111 1
52 199 1
4 191 1
28 63 1
19 173 1
58 197 1
30 95 1
12 131 1
7 97 1
35 31 1
18 167 1
62 199 1
60 3 1
14 211 1
59 49 1
7 199 1
3 97 1
65 57 1
14 167 1
63 25 1
11 167 1
65 27 1
47 139 1
64 97 1
30 159 1
11 189 1
18 139 1
27 89 1
28 165 1
46 175 1
63 111 1
18 179 1
32 217 1
32 3 1
68 73 1
17 97 1
45 85 1
10 127 1
42 161 1
21 93 1
18 131 1
28 5 1
60 145 1
27 161 1
58 131 1
18 191 1
60 219 1
27 9 1
64 161 1
40 89 1
14 141 1
7 205 1
35 81 1
53 119 1
58 87 1
8 53 1
57 187 1
67 197 1
45 127 1
39 67 1
63 165 1
36 135 1
61 107 1
9 11 1
34 37 1
49 31 1
37 25 1
19 117 1
38 87 1
54 3 1
26 185 1
68 161 1
49 181 1
39 141 1
42 39 1
4 11 1
59 215 1
36 99 1
21 213 1
24 147 1
67 197 1
36 219 1
31 119 1
9 9 1
1 19 1
43 189 1
13 195 1
22 171 1
27 3 1
44 57 1
59 161 1
63 207 1
19 25 1
5 67 1
2 81 1
66 97 1
1 97 1
46 15 1
45 147 1
32 9 1
67 45 1
16 205 1
37 97 1
56 41 1
6 9 1
17 49 1
13 153 1
53 153 1
8 51 1
60 7 1
38 159 1
35 39 1
58 17 1
65 17 1
51 95 1
66 33 1
16 43 1
6 187 1
37 129 1
20 9 1
5 209 1
40 131 1
42 171 1
20 217 1
56 87 1
17 41 1
37 29 1
68 121 1
23 31 1
60 121 1
14 183 1
8 137 1
39 165 1
49 157 1
21 75 1
31 149 1
4 207 1
66 81 1
8 95 1
18 155 1
47 203 1
21 65 1
27 39 1
50 33 1
7 189 1
42 55 1
45 77 1
23 201 1
31 175 1
13 51 1
34 27 1
52 71 1
30 53 1
36 127 1
68 29 1
58 59 1
53 63 1
41 61 1
38 211 1
40 79 1
21 43 1
10 179 1
6 21 1
31 203 1
60 117 1
10 155 1
62 125 1
31 143 1
31 11 1
6 105 1
62 103 1
59 127 1
42 177 1
61 29 1
12 41 1
9 23 1
60 21 1
37 41 1
54 11 1
33 163 1
15 7 1
34 115 1
27 37 1
50 127 1
64 101 1
46 167 1
23 155 1
51 47 1
19 115 1
31 149 1
41 53 1
66 41 1
3 27 1
6 55 1
2 159 1
39 33 1
24 79 1
5 25 1
16 117 1
54 27 1
27 49 1
58 207 1
57 43 1
22 33 1
65 121 1
52 205 1
26 193 1
61 41 1
16 159 1
7 35 1
12 117 1
60 209 1
43 45 1
37 47 1
15 43 1
38 75 1
2 197 1
58 161 1
22 9 1
7 1 1
40 133 1
37 173 1
64 127 1
3 173 1
1 163 1
30 45 1
68 149 1
59 37 1
7 209 1
19 105 1
68 33 1
4 211 1
35 185 1
48 93 1
24 23 1
38 165 1
21 169 1
57 107 1
40 37 1
56 219 1
28 115 1
1 71 1
35 111 1
19 215 1
51 59 1
35 165 1
19 161 1
23 1 1
66 9 1
46 149 1
31 31 1
30 85 1
42 119 1
58 125 1
67 19 1
53 69 1
36 49 1
31 193 1
58 97 1
8 99 1
45 141 1
26 61 1
50 109 1
30 191 1
39 197 1
67 171 1
38 1 1
26 201 1
35 89 1
27 47 1
33 59 1
13 197 1
37 169 1
15 213 1
63 115 1
43 105 1
41 207 1
64 175 1
49 181 1
43 23 1
47 27 1
68 63 1
19 67 1
40 57 1
20 177 1
7 205 1
34 207 1
50 63 1
41 165 1
3 73 1
14 107 1
65 137 1
3 167 1
10 121 1
59 173 1
62 113 1
41 149 1
28 25 1
31 59 1
17 151 1
36 79 1
10 189 1
52 139 1
67 63 1
13 73 1
2 97 1
63 95 1
30 59 1
17 189 1
28 13 1
65 23 1
41 91 1
26 121 1
1 93 1
3 99 1
40 171 1
61 187 1
28 63 1
41 203 1
67 167 1
62 109 1
21 21 1
13 121 1
66 111 1
13 157 1
27 125 1
58 185 1
62 37 1
22 47 1
7 113 1
59 211 1
21 157 1
8 113 1
64 79 1
57 153 1
44 95 1
5 169 1
30 83 1
49 195 1
38 129 1
65 57 1
1 109 1
58 171 1
61 145 1
38 47 1
68 101 1
33 153 1
32 25 1
66 157 1
62 33 1
19 119 1
28 57 1
59 33 1
44 163 1
68 177 1
34 83 1
60 155 1
15 57 1
20 67 1
31 203 1
64 179 1
29 181 1
55 59 1
59 41 1
68 11 1
43 101 1
49 131 1
3 171 1
66 33 1
3 119 1
9 123 1
35 101 1
17 209 1
10 43 1
19 209 1
60 199 1
35 193 1
32 179 1
54 145 1
47 35 1
2 181 1
1 203 1
8 165 1
54 181 1
13 109 1
39 97 1
18 183 1
24 41 1
66 85 1
34 161 1
54 139 1
18 45 1
3 133 1
67 97 1
56 177 1
7 57 1
59 33 1
45 199 1
58 95 1
47 189 1
17 75 1
24 21 1
44 163 1
10 143 1
23 65 1
18 185 1
55 19 1
10 53 1
29 115 1
44 213 1
8 173 1
33 51 1
35 59 1
66 93 1
10 115 1
10 13 1
7 149 1
30 87 1
57 153 1
23 77 1
26 141 1
53 199 1
67 27 1
10 79 1
24 69 1
38 199 1
5 155 1
11 65 1
9 201 1
15 161 1
14 205 1
48 137 1
56 21 1
30 61 1
1 195 1
46 31 1
47 23 1
24 93 1
31 181 1
24 195 1
51 61 1
35 133 1
23 107 1
7 77 1
51 127 1
38 149 1
26 95 1
41 31 1
63 71 1
30 89 1
62 173 1
51 73 1
58 181 1
61 129 1
50 35 1
41 213 1
22 83 1
36 191 1
40 21 1
5 127 1
9 189 1
58 67 1
24 91 1
2 155 1
3 145 1
11 209 1
45 17 1
51 135 1
3 59 1
7 43 1
6 113 1
25 65 1
12 169 1
9 175 1
35 69 1
50 81 1
5 113 1
50 99 1
45 97 1
6 219 1
46 51 1
34 57 1
2 195 1
3 11 1
34 3 1
5 1 1
45 83 1
21 149 1
25 219 1
5 43 1
43 183 1
53 207 1
32 159 1
18 23 1
19 205 1
67 147 1
43 47 1
44 177 1
6 111 1
40 83 1
48 9 1
45 55 1
41 127 1
11 97 1
31 215 1
45 93 1
49 113 1
21 81 1
48 13 1
5 113 1
49 151 1
64 17 1
26 13 1
10 29 1
52 129 1
4 189 1
44 117 1
5 137 1
8 111 1
25 187 1
60 79 1
6 119 1
6 91 1
48 123 1
11 217 1
32 211 1
38 147 1
47 45 1
32 145 1
20 149 1
35 209 1
51 69 1
4 123 1
29 97 1
30 121 1
33 191 1
1 89 1
67 1 1
58 201 1
53 67 1
16 93 1
16 171 1
19 187 1
6 27 1
68 131 1
52 15 1
48 127 1
24 119 1
24 85 1
37 87 1
36 55 1
58 213 1
4 209 1
36 131 1
61 9 1
64 173 1
35 207 1
5 219 1
23 147 1
8 215 1
38 173 1
35 73 1
37 199 1
45 213 1
9 11 1
51 81 1
60 75 1
29 25 1
8 169 1
24 97 1
51 215 1
44 31 1
52 157 1
60 89 1
24 31 1
61 211 1
2 1 1
28 113 1
6 9 1
42 137 1
58 13 1
4 139 1
44 177 1
1 117 1
65 3 1
3 37 1
39 79 1
58 11 1
67 27 1
9 185 1
28 77 1
52 75 1
32 143 1
37 147 1
33 17 1
41 113 1
43 187 1
50 195 1
1 63 1
8 37 1
6 15 1
53 89 1
29 27 1
29 85 1
21 21 1
5 161 1
41 31 1
44 217 1
47 175 1
65 91 1
12 81 1
45 181 1
21 77 1
40 67 1
64 189 1
30 63 1
23 127 1
4 111 1
4 175 1
14 135 1
58 91 1
63 145 1
43 93 1
16 125 1
21 151 1
26 3 1
44 37 1
17 171 1
36 151 1
17 183 1
11 129 1
8 85 1
38 201 1
20 181 1
56 9 1
16 67 1
20 117 1
15 25 1
57 129 1
47 181 1
6 171 1
17 95 1
51 49 1
27 67 1
53 89 1
19 91 1
9 125 1
48 87 1
41 15 1
59 31 1
27 151 1
64 27 1
53 3 1
10 85 1
14 33 1
45 13 1
51 175 1
35 177 1
63 37 1
56 167 1
64 213 1
11 33 1
4 57 1
36 185 1
33 11 1
26 109 1
13 183 1
53 87 1
18 13 1
6 65 1
54 39 1
37 101 1
52 89 1
64 67 1
31 185 1
40 49 1
23 139 1
15 25 1
2 87 1
5 77 1
53 69 1
6 199 1
28 165 1
1 213 1
21 19 1
65 163 1
45 41 1
23 167 1
55 123 1
24 149 1
44 145 1
49 121 1
4 81 1
4 117 1
30 23 1
40 135 1
40 175 1
34 199 1
34 219 1
61 21 1
50 45 1
58 139 1
51 117 1
52 11 1
62 9 1
3 217 1
27 191 1
63 167 1
7 31 1
33 39 1
50 151 1
4 47 1
62 89 1
47 149 1
61 45 1
33 127 1
68 75 1
15 191 1
34 71 1
48 45 1
11 145 1
38 211 1
11 71 1
22 117 1
4 175 1
11 7 1
32 47 1
7 165 1
24 5 1
16 189 1
63 91 1
9 91 1
15 127 1
58 87 1
29 29 1
22 169 1
64 213 1
12 187 1
31 95 1
35 33 1
38 131 1
10 25 1
12 59 1
13 135 1
26 5 1
39 169 1
1 17 1
50 199 1
68 77 1
22 43 1
58 209 1
54 41 1
9 15 1
9 121 1
20 105 1
10 29 1
59 107 1
9 201 1
23 161 1
4 7 1
